Version,CRT_sum,Estimate,NFC,NFC_Ra,NFC_Re,HeuristicsBiases,CRTEst_Calibration,CRTNFCA_Calibration,HBNFCA_Calibration,HBCRT_Calibration,Paranormal_Belief,CRT_split,CRT_four,HB_split,NFC_split,PB_split,Estimate_split,Groups_CRT,Groups_CRTHB,ZCRT_sum,ZEstimate,CRTxEstimate,ZHeuristicsBiases,ZParanormal_Belief,ZNFC,ZNFC_Ra,ZNFC_Re,CRTNFC_Calibration,HBNFC_Calibration,CRTEstimate_Calibration,CRT_POMP,CRT_Toplak,CRT_Thomson,ExtraordinaryLifeForms,Precognition,Psi,Religious,Spiritualism,Superstition,Witchcraft,Random,Age,Sex,StartDate,EndDate,Finished,CRTInst,CRT2_1,CRT2_2,CRT2_3,CRT2_4,CRT3_1,CRT3_2,CRT3_3,CRT3_4,H_B_Inst,CausalBR1,CausalBR2,SS_Hospita,SS_Squash,Regr2Mean,GF1_Slot,GF2_Coin,CF_Linda_1,CF_Linda_2,CF_Linda_3,CF_Linda_4,CF_Linda_5,CF_Linda_6,CF_Linda_7,CF_Linda_8,Covary1,Covary2,Methodolog,Bayes1,Bayes2,DenNeglect,ProbMatch,SunkCost1,SunkCost2,OCBias_D,OCBias_C1,OCBias_c2,RI_Inst,RI_1,RI_2,RI_3,RI_4,RI_5,RI_6,RI_7,RI_8,RI_9,RI_10,RI_11,RI_12,RI_13,RI_14,RI_15,RI_16,RI_17,RI_18,RI_19,RI_20,English,PB_1,PB_2,PB_3,PB_4,PB_5,PB_6,PB_7,PB_8,PB_9,PB_10,PB_11,PB_12,PB_13,PB_14,PB_15,PB_16,PB_17,PB_18,PB_19,PB_20,PB_21,PB_22,PB_23,PB_24,PB_25,PB_26,PB_RT_1,PB_RT_2,PB_RT_3,PB_RT_4,Debrief,CRT_ACC_1,CRT_ACC_2,CRT_ACC_3,CRT_ACC_4,CRT_ACC_5,CRT_ACC_6,CRT_ACC_7,CRT_ACC_8,CausalBR_ACC,SampleSize_ACC_1,SampleSize_ACC_2,Regr2Mean_ACC,GamblerFallacy_ACC_1,GamblerFallacy_ACC_2,ConjunctionFallacy_ACC_1,ConjunctionFallacy_ACC_2,ConjunctionFallacy_ACC,Covariation_ACC,MethodReasoning_ACC,Bayesian_ACC,DenNeglect_ACC,ProbMatch_ACC,SunkCost_ACC,OutcomeBias_ACC,RIb_1,RIb_2,RIb_3,RIb_4,RIb_5,RIb_6,RIb_7,RIb_8,RIb_9,RIb_10,RIb_11,RIb_12,RIb_13,RIb_14,RIb_15,RIb_16,RIb_17,RIb_18,RIb_19,RIb_20,P.RI_1,P.RI_3,P.RI_5,P.RI_6,P.RI_7,P.RI_10,P.RI_11,P.RI_15,P.RI_18,P.RI_20,P.RI_2,P.RI_4,P.RI_8,P.RI_9,P.RI_12,P.RI_13,P.RI_14,P.RI_16,P.RI_17,P.RI_19,P.PB_1,P.PB_2,P.PB_3,P.PB_4,P.PB_5,P.PB_6,P.PB_7,P.PB_8,P.PB_9,P.PB_10,P.PB_11,P.PB_12,P.PB_13,P.PB_14,P.PB_15,P.PB_16,P.PB_17,P.PB_18,P.PB_19,P.PB_20,P.PB_21,P.PB_22,P.PB_23,P.PB_24,P.PB_25,P.PB_26,PBNFC_Calibration,CRTNFC_Calibration2,CRTEst_nonZ,CRTEst_Z,Estimate_POMP,HB_POMP,HnB_four,NFC_four,HBNFCE_Calibration,CRTNFCE_Calibration
2,0,8,37.5,50,25,.3125,-8,-.888401165656177,.06461036812091,.953011533777087,63.7362637362637,1,1,1,1,2,2,1,1,-1.94780504682072,1.49675992985181,-2.91539654524438,-.994793513043633,1.54541915206979,-1.67660872142007,-1.05940388116454,-1.85616669013077,-.271196325400655,.681815208376433,-3.44456497667253,0,0,0,47.6190476190476,42.8571428571429,78.5714285714286,85.7142857142857,82.1428571428571,0,89.2857142857143,2,41,2,6/20/2016,6/20/2016,1,1,18,15,30,2,1,7,1,3,1,1,4,3,1,2,1,1,7,8,1,3,2,5,6,4,1,11,4,25,10,2,6,1,2,1,2,2,1,5,5,4,5,5,1,3,2,4,1,5,4,2,4,1,4,5,2,5,3,1,7,7,8,1,1,7,8,1,7,5,1,5,7,1,5,7,7,7,7,7,7,7,7,7,7,1,3.674,101.625,102.897,34,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,4,1,1,1,3,4,2,1,1,2,2,4,1,4,5,4,5,3,0,75,0,0,50,0,0,0,75,50,0,0,75,25,25,25,75,75,100,100,85.7142857142857,85.7142857142857,100,0,0,85.7142857142857,100,0,85.7142857142857,57.1428571428571,0,57.1428571428571,85.7142857142857,0,57.1428571428571,85.7142857142857,85.7142857142857,85.7142857142857,85.7142857142857,85.7142857142857,85.7142857142857,85.7142857142857,85.7142857142857,85.7142857142857,85.7142857142857,0,3.18348459167334,-37.5,-8,-3.44456497667253,100,31.25,1,1,.861373177087136,-.0916383566899517
2,0,8,48.75,47.5,50,.5,-8,-.752243432447333,1.18731749656077,1.9395609290081,34.0659340659341,1,1,1,1,2,2,1,1,-1.94780504682072,1.49675992985181,-2.91539654524438,-.00824411781261961,.338665197317968,-1.06622910874868,-1.19556161437339,-.750185838593825,-.881575938072043,1.05798499093606,-3.44456497667253,0,0,0,28.5714285714286,28.5714285714286,35.7142857142857,42.8571428571428,28.5714285714286,28.5714285714286,42.8571428571429,2,20,2,6/20/2016,6/20/2016,1,1,6,15,70,2,1,7,1,27,1,1,3,2,2,2,1,2,2,7,3,5,1,6,8,4,1,3,3,50,50,2,2,2,2,1,2,2,1,2,2,2,2,2,3,3,4,2,2,2,2,3,2,2,2,2,2,2,2,1,3,5,3,3,3,4,4,3,3,3,3,4,3,3,3,3,3,3,4,3,3,6,4,3,3,3,0,0,17.147,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,4,4,2,4,4,3,3,2,4,2,4,4,3,2,2,2,2,4,2,2,75,25,75,50,50,25,75,25,75,25,75,75,25,75,75,50,25,25,25,25,28.5714285714286,57.1428571428571,28.5714285714286,28.5714285714286,28.5714285714286,42.8571428571429,42.8571428571429,28.5714285714286,28.5714285714286,28.5714285714286,28.5714285714286,42.8571428571429,28.5714285714286,28.5714285714286,28.5714285714286,28.5714285714286,28.5714285714286,28.5714285714286,42.8571428571429,28.5714285714286,28.5714285714286,71.4285714285714,42.8571428571429,28.5714285714286,28.5714285714286,28.5714285714286,1.37662990196495,-48.75,-8,-3.44456497667253,100,50,2,1,.741941720781206,-1.19761920822689
2,2,8,48.75,55,42.5,.5625,-6,-.149755412947738,1.10769409534457,1.25744950829231,80.7692307692308,1,1,2,1,2,2,1, ,-.936843827694593,1.49675992985181,-1.40223030182226,.320605680597718,2.23818531127917,-1.06622910874868,-.787088414746855,-1.08198009405491,.129385281054085,1.3868347893464,-2.4336037575464,25,1,1,90.4761904761905,78.5714285714286,71.4285714285714,89.2857142857143,82.1428571428571,85.7142857142857,71.4285714285714,2,25,1,6/20/2016,6/20/2016,1,1,8,1,20,1,2,7,1,9,1,1,1,2,1,2,1,1,6,2,3,5,7,1,4,8,1,9,2,35,30,1,2,1,1,1,3,1,1,3,4,3,3,4,3,2,3,4,3,3,4,4,5,3,4,4,5,3,2,1,5,8,8,8,8,6,5,8,6,6,5,5,5,8,8,8,6,8,6,5,7,6,8,7,8,5,.886,27.294,29.776,28,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,1,3,2,3,3,2,3,4,3,2,3,3,2,4,5,3,4,4,1,3,2,50,50,25,50,75,50,50,50,0,25,25,50,50,25,25,75,100,75,75,50,57.1428571428571,100,100,100,100,71.4285714285714,57.1428571428571,100,71.4285714285714,71.4285714285714,57.1428571428571,57.1428571428571,57.1428571428571,100,100,100,71.4285714285714,100,71.4285714285714,57.1428571428571,85.7142857142857,71.4285714285714,100,85.7142857142857,100,57.1428571428571,3.27615001592616,-23.75,-6,-2.4336037575464,100,56.25,3,1,1.40258577465263,.145136266360315
1,2,8,87.5,95,80,.3125,-6,-2.32827914428924,-2.38622882963828,-.0579496853490399,67.032967032967,1,1,1,2,2,2,2,2,-.936843827694593,1.49675992985181,-1.40223030182226,-.994793513043633,1.67950292482,1.03618955711944,1.39143531659465,.576991183250506,-1.97303338481403,-2.03098307016307,-2.4336037575464,25,1,1,57.1428571428571,64.2857142857143,64.2857142857143,78.5714285714286,85.7142857142857,19.047619047619,85.7142857142857,2,28,2,5/31/2016,5/31/2016,1,1,6,1,20,2,2,7,1,27,1,1,2,1,2,3,1,3,5,4,1,6,2,7,8,3,1,9,3,25,70,2,1,1,2,1,2,5,1,1,1,5,1,1,5,1,1,1,3,1,1,3,5,5,5,5,3,5,1,1,5,7,7,5,5,5,7,5,7,5,5,5,7,1,7,5,5,7,7,7,7,7,5,7,7,1,7.618,71.718,72.908,33,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,3,5,5,3,5,5,5,5,3,5,1,100,100,100,100,100,50,100,100,50,0,100,100,100,100,100,50,100,100,100,100,57.1428571428571,85.7142857142857,85.7142857142857,57.1428571428571,57.1428571428571,57.1428571428571,85.7142857142857,57.1428571428571,85.7142857142857,57.1428571428571,57.1428571428571,57.1428571428571,85.7142857142857,0,85.7142857142857,57.1428571428571,57.1428571428571,85.7142857142857,85.7142857142857,85.7142857142857,85.7142857142857,85.7142857142857,57.1428571428571,85.7142857142857,85.7142857142857,0,.650453986838831,-62.5,-6,-2.4336037575464,100,31.25,1,4,-1.57178469629414,-1.5138350109451
2,1,7,41.25,57.5,25,.4,-6,-.791393755719646,.116526886268851,.907920641988497,27.3809523809524,1,1,1,1,2,2,1,1,-1.44232443725766,.868967634551111,-1.25333325449905,-.53440379526916,.0667731025745012,-1.4731488505296,-.650930681538011,-1.85616669013077,.0308244132719464,.938745055260443,-2.31129207180877,12.5,0,1,0,28.5714285714286,17.8571428571429,61.9047619047619,39.2857142857143,19.047619047619,23.8095238095238,2,22,1,6/20/2016,6/20/2016,1,1,5,15,10,2,1,8,1,27,1,1,2,1,1,1,1,3,6,2,1,3,5,8,7,4,1,6,1,25,70, ,4,2,2,1,1,2,1,4,3,2,3,4,2,4,3,2,1,4,2,3,4,2,4,3,3,2,2,1,3, ,3,1,3,1,4,3,3,1,3,1,1,3,4,1,3,4,3,5,3,3, ,8,5,1,10.993,30.169,30.887,29,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0, ,1,1,0,2,3,2,3,2,2,2,3,4,1,2,4,3,4,2,4,3,3,2,2,25,25,25,25,25,0,25,25,50,25,50,50,50,75,75,50,75,75,50,25,28.5714285714286, ,28.5714285714286,0,28.5714285714286,0,42.8571428571429,28.5714285714286,28.5714285714286,0,28.5714285714286,0,0,28.5714285714286,42.8571428571429,0,28.5714285714286,42.8571428571429,28.5714285714286,57.1428571428571,28.5714285714286,28.5714285714286, ,100,57.1428571428571,0,1.50480496385919,-28.75,-6,-2.31129207180877,87.5,40,2,1,1.32176289486161,.413842252873112
2,1,7,53.9473684210526,47.2222222222222,60,.5625,-6,-.231634185861065,1.53129593199431,1.76293011785537,71.4285714285714,1,1,2,1,2,2,1, ,-1.44232443725766,.868967634551111,-1.25333325449905,.320605680597718,1.85828128848693,-.784240866637335,-1.21069025139659,-.307793497979048,-.658083570620322,1.10484654723505,-2.31129207180877,12.5,1,0,57.1428571428571,75,71.4285714285714,82.1428571428571,64.2857142857143,52.3809523809524,89.2857142857143,2,26,1,6/20/2016,6/20/2016,1,1,5,31,10,3,1,7,1,81,1,1,1,2,2,3,1,2,2,4,1,3,6,7,8,5,1,8,2,25,20,1,3,1,1,1,4,2,1,4,3,4,5,2,5,4,4,3,4,4,3,3,4,5,3, ,3,4,3, ,5,8,4,5,8,8,8,5,5,4,5,6,8,4,5,6,8,5,5,8,4,8,6,8,5,5,.716,19.308,20.054,30,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,2,3,4,1,4,5,2,2,3,4,2,3,3,4,5,3, ,3,4,3,25,75,75,100,25,75,25,100,50,50,50,0,25,50,50,50,75,50, ,75,57.1428571428571,100,42.8571428571429,57.1428571428571,100,100,100,57.1428571428571,57.1428571428571,42.8571428571429,57.1428571428571,71.4285714285714,100,42.8571428571429,57.1428571428571,71.4285714285714,100,57.1428571428571,57.1428571428571,100,42.8571428571429,100,71.4285714285714,100,57.1428571428571,57.1428571428571,2.61900647230603,-41.4473684210526,-6,-2.31129207180877,87.5,56.25,3,1,.628399178576766,-1.13453093927861
1,1,7,78.75,80,77.5,.4375,-6,-2.01681335459924,-.911582833564543,1.1052305210347,23.6263736263736,1,1,1,2,2,2,2,2,-1.44232443725766,.868967634551111,-1.25333325449905,-.337093916222957,-.0859334163910069,.561449858375024,.574488917341585,.466393098096812,-2.00377429563268,-.898543774597982,-2.31129207180877,12.5,0,1,0,0,0,89.2857142857143,32.1428571428571,42.8571428571429,0,2,26,2,5/31/2016,5/31/2016,1,1,8,15,30,2,1,7,3,27,1,1,3,1,2,1,1,2,8,7,1,6,3,5,4,2,1,2,4,50,80,1,5,2,2,1,2,7,1,2,1,5,3,1,5,3,1,5,5,3,1,3,5,5,5,5,5,5,5,1,1,1,6,1,1,1,1,1,1,1,1,1,1,7,5,1,1,1,1,1,1,8,7,7,7,4,3.622,64.339,65.294,37,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,4,5,5,3,5,5,3,5,1,5,3,5,3,5,5,5,5,1,5,5,75,100,100,100,50,100,50,100,0,100,100,50,100,0,100,50,100,100,100,100,0,0,71.4285714285714,0,0,0,0,0,0,0,0,0,0,85.7142857142857,57.1428571428571,0,0,0,0,0,0,100,85.7142857142857,85.7142857142857,85.7142857142857,42.8571428571429,-.648237338294847,-66.25,-6,-2.31129207180877,87.5,43.75,2,3,-.803487014319769,-1.90871753535447
1,1,7,82.5,80,85,.4375,-6,-2.01681335459924,-.911582833564543,1.1052305210347,51.0989010989011,1,1,1,2,2,2,2,2,-1.44232443725766,.868967634551111,-1.25333325449905,-.337093916222957,1.03143135652735,.764909729265487,.574488917341585,.798187353557895,-2.20723416652314,-1.10200364548844,-2.31129207180877,12.5,1,0,52.3809523809524,60.7142857142857,53.5714285714286,42.8571428571429,67.8571428571429,28.5714285714286,46.4285714285714,2,24,1,5/31/2016,5/31/2016,1,1,6,30,0,3,1,7,1,3,1,1,2,2,2,2,5,3,6,5,1,2,3,8,7,4,1,6,2,25,60,1,4,1,2,1,2,2,1,1,2,4,2,1,4,1,1,2,5,3,3,4,5,4,4,5,2,4,5,1,1,4,5,3,8,5,5,5,5,4,4,5,3,3,8,7,4,8,5,5,5,5,3,3,5,1,7.542,101.847,103.608,28,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,5,4,4,4,5,4,5,5,4,5,3,3,4,5,4,4,5,4,4,5,100,75,100,75,100,100,50,75,75,100,75,75,100,75,50,75,100,75,100,75,0,42.8571428571429,57.1428571428571,28.5714285714286,100,57.1428571428571,57.1428571428571,57.1428571428571,57.1428571428571,42.8571428571429,42.8571428571429,57.1428571428571,28.5714285714286,28.5714285714286,100,85.7142857142857,42.8571428571429,100,57.1428571428571,57.1428571428571,57.1428571428571,57.1428571428571,28.5714285714286,28.5714285714286,57.1428571428571,0,.269093856304655,-70,-6,-2.31129207180877,87.5,43.75,2,3,-1.13528126978085,-2.24051179081555
1,1,7,90,92.5,87.5,.375,-6,-2.69760202064346,-1.9212212980191,.776380722624362,4.94505494505494,1,1,1,2,1,2,2,2,-1.44232443725766,.868967634551111,-1.25333325449905,-.665943714633295,-.845741461975489,1.17182947104641,1.25527758338581,.908785438711589,-2.61415390830407,-1.83777318567971,-2.31129207180877,12.5,0,1,23.8095238095238,14.2857142857143,0,0,0,0,0,2,31,1,5/31/2016,5/31/2016,1,1,9,31,0,2,1,8,1,27,1,1,2,3,1,3,1,3,6,7,2,5,3,8,4,1,1,5,3,25,80,2,3,2,2,1,4,3,1,1,1,4,1,1,4,1,1,1,4,2,2,4,5,5,5,4,1,5,4,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,6,3,1,1,1,1,1,1,1,1,1,0,0,30.055,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,5,5,4,5,5,4,5,5,5,4,4,4,4,5,5,5,4,5,5,4,100,75,100,75,100,75,75,100,100,75,100,100,100,100,75,75,100,100,75,100,0,0,0,0,0,0,0,0,0,0,28.5714285714286,0,0,0,0,71.4285714285714,28.5714285714286,0,0,0,0,0,0,0,0,0,-2.00814611883589,-77.5,-6,-2.31129207180877,87.5,37.5,1,4,-1.57472915334488,-2.35110987596925
1,2,7,30.5555555555556,33.3333333333333,27.7777777777778,.125,-5,1.03027827486224,-.0142208057178099,-1.04449908058005,16.4835164835165,1,1,1,1,1,2,1,1,-.936843827694593,.868967634551111,-.814086964895579,-1.98134290827465,-.376448257349779,-2.05338626010611,-1.96712210255684,-1.73327992884889,1.11654243241152,.0720433518314616,-1.8058114622457,25,1,1,38.0952380952381,0,0,0,0,0,78.5714285714286,2,24,2,5/31/2016,5/31/2016,1,1,2,1,20,2,1,8,1,9,1,1,2,1,1,3,3,3,7,5,2,6,4,3,8,1,1,10,4,25,30,2,3,1,2,1,2,4,1,4,4,2, ,4,2,4,4,4,2,4,4,2,2,3,3,3, ,3,2,1,1,5,1,1,1,1,8,1,1,4,1,1,5,1,1,6,1,1,8,1,1,1,1,1,1,1,4.683,40.575,40.837,33,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2, ,2,2,2,2,2,2,2,2,2,2,3,3,3, ,3,2,25,25,25,25,25,25,25,50, ,25,25, ,25,25,25,25,25,50,50,50,0,57.1428571428571,0,0,0,0,100,0,0,42.8571428571429,0,0,57.1428571428571,0,0,71.4285714285714,0,0,100,0,0,0,0,0,0,0,1.63204973469609,-5.55555555555556,-5,-1.8058114622457,87.5,12.5,1,1,-.24806297942576,.796436101154293
